"entity"	"name"	"label"	"dataType"	"refEntity"	"nillable"	"idAttribute"	"enumOptions"	"defaultValue"	"rangeMin"	"rangeMax"	"lookupAttribute"	"labelAttribute"	"readOnly"	"aggregateable"	"visible"	"unique"	"partOfAttribute"	"expression"	"validationExpression"	"tags"	"description"	"mappedBy"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"LifeCycle_CodeBooks"	"id"	"ID"	"string"	""	"false"	"AUTO"					"true"	"false"	"true"	"false"	"true"	"true"	""			""	"Short name of the variable (should not include spaces)"	""																
"LifeCycle_CodeBooks"	"label"	"Codebook label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Longer human readable name of the variable"	""																
"LifeCycle_CodeBooks"	"URL"	"Codebook link"	"hyperlink"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"id"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"LifeCycle_Cohorts"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"name"	"Cohort name"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"description"	"Basic description"	"html"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"codebooks"	"Codebooks"	"mref"	"LifeCycle_CodeBooks"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"profile"	"Cohort profile"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"website"	"Cohort website"	"hyperlink"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"profile"			""		""																
"LifeCycle_Cohorts"	"profile_info"	"Additional profile information"	"html"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"profile"			""		""																
"LifeCycle_Cohorts"	"contacts"	"Contacts"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Cohorts"	"coordinator"	"Coordinator"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"contacts"			""		""																
"LifeCycle_Cohorts"	"coordinator_name"	"Name"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"coordinator"			""		""																
"LifeCycle_Cohorts"	"coordinator_email"	"E-mail"	"email"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"coordinator"			""		""																
"LifeCycle_Cohorts"	"access"	"Access"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"contacts"			""		""																
"LifeCycle_Cohorts"	"access_label"	"Label of access URL"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"access"			""		""																
"LifeCycle_Cohorts"	"access_url"	"Access URL"	"hyperlink"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"access"			""		""																
"LifeCycle_CoreVariables"	"variable"	"Variable"	"string"	""	"false"	"true"					"true"	"false"	"true"	"false"	"true"	"true"	""			""	"Short name of the variable (should not include spaces)"	""																
"LifeCycle_CoreVariables"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Longer human readable name of the variable"	""																
