"id"	"biobank"	"standards"	"assess_level_bio"	"certification_number"	"certification_report"	"certification_image_link"	"label"
"aaaac24ou72sr6qwh2mykkqaae"	"bbmri-eric:ID:DE_BBNM"	"iso-9001"	"accredited"				"ISO-9001"
"aaaac25sodhhh6qwh2mykkqaae"	"bbmri-eric:ID:DE_HUB"	"iso-9001"	"accredited"				"ISO-9001"
